GEOID,Male_total,Female_total,%AGE_MALE_YNG,%AGE_MALE_MID,%AGE_MALE_OLD,%AGE_MALE_YOUNG,%AGE_MALE_OLDER,%AGE_FEMALE_YNG,%AGE_FEMALE_MID,%AGE_FEMALE_OLD,%AGE_FEMALE_YOUNG,%AGE_FEMALE_OLDER,%RACE_White,%RACE_Black,%RACE_Latino,%RACE_Native,%RACE_Asian,%RACE_HI_PI,%RACE_Other,%RACE_Mixed,%RACE_NonWhite,%RACE_BAO,%RACE_LNHM,%REL_OP_SEX_MAR,%REL_OP_SEX_UNMAR,%REL_S_SEX_MAR,%REL_S_SEX_UNMAR,%REL_W_RELATIVES,%REL_NON_REL,%REL_MALE_JAILED,%REL_FEMALE_JAILED,%REL_MALE_GRP_DORM,%REL_FEMALE_GRP_DORM,%HH_MARRIED,%HH_MAR_W_KIDS,%HH_NOT_MAR,%HH_NOT_MAR_W_KIDS,%HH_MALE_ALONE,%HH_MALE_65+,%HH_MALE_W_KIDS,%HH_FEMALE_ALONE,%HH_FEMALE_65+,%HH_FEMALE_W_KIDS,%OWN_HOME,%Urban_pop,PARTY_WIN,PARTY_LEAD
26157,26780,26543,24.28,18.2,35.4,35.88,42.0,28.51,12.6,38.4,41.11,38.4,91.2,0.8,3.4,0.3,0.3,0.0,0.2,3.8,8.8,1.3,7.5,20.7,3.0,0.1,0.1,2.6,2.3,0.5,0.5,0.3,0.2,51.1,15.6,7.5,2.9,13.5,4.8,1.6,13.8,8.4,3.2,82.1,10.1,0,-0.39
26159,37482,38105,25.1,17.9,33.6,36.6,40.0,29.36,12.1,35.9,41.46,35.9,78.6,3.1,11.9,0.7,0.5,0.0,0.4,4.8,21.4,4.0,17.4,19.6,2.9,0.1,0.1,3.4,2.8,0.1,0.2,0.2,0.1,50.5,17.1,7.5,2.9,12.9,4.7,1.5,13.5,7.7,4.2,77.8,21.95,0,-0.12
26161,182825,189433,39.14,16.7,25.0,50.04,30.8,43.19,11.4,27.8,54.59,27.8,67.8,11.3,5.6,0.2,9.0,0.0,0.6,5.6,32.3,20.9,11.4,17.0,2.4,0.3,0.2,2.5,5.8,0.6,0.8,2.5,2.6,43.4,16.7,6.7,1.2,14.7,3.3,1.2,16.7,6.6,3.8,60.3,82.81,1,0.47
26163,869995,923566,29.81,18.6,27.1,41.91,33.6,34.97,12.7,30.4,47.67,30.4,47.8,37.3,6.6,0.2,3.6,0.0,0.4,4.0,52.1,41.3,10.8,13.8,2.6,0.1,0.1,5.3,2.8,0.2,0.3,0.4,0.3,35.2,13.7,6.8,2.6,15.7,4.4,1.7,16.7,7.9,7.8,61.6,99.1,1,0.38
26165,16800,16873,24.8,17.6,33.9,36.1,40.2,29.49,11.6,36.2,41.09,36.2,91.4,0.6,2.3,0.5,0.6,0.0,0.3,4.3,8.6,1.5,7.1,19.1,3.5,0.1,0.1,2.6,3.3,0.5,0.5,0.1,0.1,47.5,15.4,8.9,3.5,13.8,5.0,1.9,14.2,8.0,4.3,75.8,36.25,0,-0.34
27001,7948,7749,16.14,15.0,51.6,25.14,57.6,20.52,10.6,52.2,31.12,52.2,92.2,0.4,1.4,2.4,0.2,0.0,0.2,3.2,7.8,0.8,7.0,22.4,3.5,0.2,0.1,2.2,1.9,0.6,0.9,0.3,0.3,49.0,9.7,7.6,2.2,17.5,8.3,1.1,15.7,9.9,2.5,82.0,0.0,0,-0.26
27003,181310,182577,28.35,19.7,27.3,41.35,34.0,33.38,13.0,29.8,46.38,29.8,75.9,7.8,5.4,0.5,5.3,0.0,0.4,4.7,24.1,13.5,10.6,19.8,2.8,0.1,0.1,3.8,2.7,0.5,0.2,0.1,0.1,54.2,21.9,7.7,2.8,10.4,2.9,1.5,12.1,6.3,4.3,79.4,84.1,0,-0.02
27005,17684,17499,22.74,16.6,36.9,33.64,42.6,27.3,10.5,38.1,37.8,38.1,84.3,0.6,1.6,6.9,0.4,0.0,0.3,5.9,15.7,1.3,14.4,20.9,2.7,0.1,0.1,2.1,2.1,0.5,0.5,0.2,0.1,51.5,16.6,6.9,2.5,14.8,5.5,1.7,14.4,8.5,3.6,77.7,29.09,0,-0.3
27007,23025,23203,30.81,14.8,28.5,40.91,33.2,34.81,10.0,31.2,44.81,31.2,70.2,1.1,2.4,19.9,0.6,0.0,0.3,5.5,29.8,2.0,27.8,16.3,3.5,0.1,0.1,3.1,4.3,0.7,0.7,1.6,1.6,42.8,14.5,9.4,3.4,14.5,4.4,1.7,15.1,7.2,5.5,68.1,32.12,0,-0.03
27009,20724,20655,29.73,18.7,25.7,42.13,32.0,35.32,11.5,28.7,46.82,28.7,86.6,4.8,2.9,0.4,1.1,0.0,0.3,3.8,13.3,6.2,7.1,18.7,3.6,0.1,0.1,2.1,2.6,0.4,0.7,0.4,0.2,47.0,19.9,9.3,3.4,14.4,3.6,1.7,14.6,7.0,4.7,66.7,54.97,0,-0.32
