GEOID,Pop_Urban,Pop_Rural,%Urban_pop
48037,57646,35247,62.06
48039,287969,84062,77.4
48041,206137,27712,88.15
48043,6283,3263,65.82
48045,0,1435,0.0
48047,4497,2579,63.55
48049,21562,16533,56.6
48051,0,17642,0.0
48053,16054,33076,32.68
48055,20834,25049,45.41
48057,12055,8051,59.96
48059,0,13708,0.0
48061,346996,74021,82.42
48063,0,12464,0.0
48065,0,5807,0.0
48067,5531,22923,19.44
48069,0,7371,0.0
48071,21373,25198,45.89
48073,13881,36531,27.54
48075,4516,2148,67.77
48077,0,10218,0.0
48079,0,2547,0.0
48081,0,3285,0.0
48083,3599,4085,46.84
48085,999005,65460,93.85
48087,0,2652,0.0
48089,0,20557,0.0
48091,86223,75278,53.39
48093,0,13594,0.0
48095,0,3303,0.0
48097,16544,25124,39.7
48099,66866,16227,80.47
48101,0,1380,0.0
48103,0,4675,0.0
48105,0,3098,0.0
48107,0,5133,0.0
48109,0,2188,0.0
48111,5457,1658,76.7
48113,2598426,15113,99.42
48115,8731,3725,70.09
48117,15520,3063,83.52
48119,0,5230,0.0
48121,841126,65296,92.8
48123,9635,10189,48.6
48125,0,1770,0.0
48127,5615,3000,65.18
48129,0,3258,0.0
48131,0,9831,0.0
48133,0,17725,0.0
48135,150156,15015,90.91
48137,0,1422,0.0
48139,133382,59073,69.31
48141,830826,34831,95.98
48143,20852,21693,49.01
48145,5396,11572,31.8
48147,7799,27863,21.87
48149,5020,19415,20.54
48151,0,3672,0.0
48153,0,5402,0.0
48155,0,1095,0.0
48157,783302,39477,95.2
48159,0,10359,0.0
48161,0,19435,0.0
48163,9063,9322,49.3
48165,7068,14530,32.73
48167,336429,14253,95.94
48169,0,5816,0.0
48171,11641,15084,43.56
48173,0,1116,0.0
48175,0,7012,0.0
48177,6953,12700,35.38
48179,16865,4362,79.45
48181,70903,64640,52.31
48183,107516,16723,86.54
48185,7458,21810,25.48
48187,129837,42869,75.18
48189,22615,9907,69.54
48191,0,2825,0.0
48193,0,8222,0.0
48195,0,5285,0.0
48197,0,3549,0.0
48199,27710,28521,49.28
48201,4677507,53638,98.87
48203,31043,37796,45.1
48205,2895,2487,53.79
48207,0,5416,0.0
48209,169365,71702,70.26
48211,0,3382,0.0
48213,27977,54173,34.06
48215,793236,77545,91.09
48217,8068,27806,22.49
48219,12601,8936,58.51
48221,36291,25307,58.92
48223,14683,22104,39.91
48225,5935,16131,26.9
48227,28955,5905,83.06
48229,0,3202,0.0
48231,38657,61299,38.67
48233,12848,7769,62.32
48235,0,1513,0.0
48237,0,8472,0.0
48239,5910,9078,39.43
48241,7303,25677,22.14
48243,0,1996,0.0
48245,231266,25260,90.15
48247,0,4838,0.0
48249,19413,19478,49.92
48251,96310,83617,53.53
48253,0,19663,0.0
48255,0,14710,0.0
48257,84393,60917,58.08
